Year,Year_End_Value,Yearly_Increase_Points,Yearly_Increase_Percent
2017,100.821,1.75,1.7664099484208293
2018,102.701,1.8799999999999955,1.8646908878110668
2019,104.307,1.6060000000000088,1.5637627676458932
2020,105.699,1.391999999999996,1.3345221317840565
2021,112.191,6.492000000000004,6.141969176624191
2022,118.384,6.192999999999998,5.520050627946981
2023,121.66,3.2759999999999962,2.7672658467360423
2024,124.979,3.3190000000000026,2.7280946901200087
2025,128.093,3.11399999999999,2.491618591923435
