Date,Close,High,Low,Open,Volume
2016-03-01,98.39485931396484,98.39485931396484,95.94870932335459,96.24633976744431,37699800
2016-03-02,98.43209838867188,98.4506971933936,97.66941966578506,98.27398371228519,29209800
2016-03-03,98.24606323242188,98.35767733575729,97.53919519951107,98.32977558394123,25474600
2016-03-04,98.28327178955078,98.91573754112311,97.63220723472843,98.35768119469375,31655400
2016-03-07,97.6787109375,98.3483814132165,96.98113870797393,97.78102209884956,25861200
2016-03-08,96.86956024169922,97.85546034591322,96.70214257342951,97.00907614793627,28898500
2016-03-09,97.4926986694336,97.51129747407535,96.69281524447042,97.23227282801712,31047400
2016-03-10,97.3438949584961,98.46000782676359,96.08825911160446,97.90195139262984,44236100
2016-03-11,99.04595947265625,99.04595947265625,98.08796135642346,98.39489485853846,31454000
2016-03-14,99.21337127685547,99.44589535339975,98.6460119624017,98.67391371621554,25374900
2016-03-15,99.17616271972656,99.287776826717,98.54369697225684,98.85993339402741,26524600
2016-03-16,100.05976867675781,100.32019452365655,98.90644407467467,98.93435292633278,31693100
2016-03-17,100.00394439697266,100.2364684564947,99.39938751907225,99.7714203374506,29623700
2016-03-18,100.1606674194336,100.41253519701358,99.6289402293243,100.24462097292009,37682300
2016-03-21,100.55248260498047,100.64576671987221,99.9274712063718,99.98344025188251,17288600
2016-03-22,100.8603286743164,101.09354252492719,99.96478834202561,99.98344231854084,18840300
2016-03-23,100.03007507324219,100.73903996360964,99.80618468111679,100.66441695002216,20912900
2016-03-24,100.05804443359375,100.08602894908937,99.37705704901434,99.5449712591079,19017300
2016-03-28,99.91814422607422,100.3565874105485,99.74089941946835,100.33792631663104,13892300
2016-03-29,101.52263641357422,101.5879359950052,99.56364185352433,99.73155607964978,29963900
2016-03-30,102.01704406738281,102.65138588076778,101.80248424231895,102.12898925225791,23807200
2016-03-31,101.8677978515625,102.32490208158781,101.70921415565392,101.94242798509168,21447200
2016-04-01,102.94990539550781,102.98722045935793,101.11217942433382,101.25210913449156,26389000
2016-04-04,102.55812072753906,103.02454840831976,102.31557634073904,102.94991827128567,17163000
2016-04-05,101.56925964355469,102.14763236155483,101.43866050031586,101.76515835841292,20107900
2016-04-06,103.2391128540039,103.27642792674916,101.6719153843154,101.6719153843154,25056000
2016-04-07,101.75587463378906,102.82865982934894,101.31743143165501,102.6420844682694,28567200
2016-04-08,101.68123626708984,102.63274562172538,101.32675378538674,102.39020834761776,22898000
2016-04-11,101.3080825805664,102.63273537785024,101.29875203491764,102.11966924110448,25772100
2016-04-12,102.15697479248047,102.35287353013393,100.7670154222262,101.38270326952599,28564100
2016-04-13,103.46297454833984,103.62155822561063,102.80997163238654,102.94057079215311,25356700
2016-04-14,103.47230529785156,103.85477937646091,102.61408015376546,103.48163584338667,17199700
2016-04-15,103.21110534667969,103.60290284757956,102.94990701274645,103.38835012347188,21353300
2016-04-18,103.7614974975586,103.79880544625722,102.8472961777784,102.91259576368262,17126100
2016-04-19,103.1271743774414,103.957415170914,102.50215580763692,103.957415170914,42481400
2016-04-20,103.21110534667969,103.68686352184143,102.77266223595426,103.12715178953864,18078300
2016-04-21,103.220458984375,103.59360259509619,102.75403125025412,103.15515938628297,20216000
2016-04-22,101.66259002685547,102.35290106675107,100.86033377084615,101.8771427946706,39074000
2016-04-25,101.66259002685547,101.67191345702325,101.16817066019492,101.35474602038444,14351900
